,TPfixation,TPfixation RA,TPfixation Shuffled,TPheatmap,TPheatmap RA,TPheatmap Shuffled,TPTNfixation,TPTNfixation RA,TPTNfixation Shuffled,TPTNheatmap,TPTNheatmap RA,TPTNheatmap Shuffled,AUCfixation,AUCfixation RA,AUCfixation Shuffled,AUCheatmap,AUCheatmap RA,AUCheatmap Shuffled,IGfixation,IGfixation RA,IGfixation Shuffled,CCheatmap,CCheatmap RA,CCheatmap Shuffled
1100,0.3737864077669903,0.15048543689320387,0.07281553398058252,0.3622664255575648,0.10548523206751055,0.0997588908981314,0.8986904761904762,0.8947916666666667,0.895,0.8730357142857142,0.8211607142857142,0.8211904761904761,0.6378574489574605,0.5249342798049297,0.48644370158932104,0.6456335760308795,0.5025312693591631,0.49999832795352384,0.0070596193,0.0027277444,0.0024098144,0.35525126568331333,0.007157992735565438,0.0006508129726302047
1101,0.35135135135135137,0.32432432432432434,0.13513513513513514,0.4944301628106255,0.23393316195372751,0.1062553556126821,0.8876785714285714,0.9266964285714285,0.89,0.8876190476190476,0.9086011904761905,0.863452380952381,0.6198105861425589,0.6258424052870318,0.5129836507544102,0.6980984409465208,0.5834050849697106,0.4984765508677292,0.0012303649,0.0010502068,0.00043187136,0.24310837272232608,0.13790661475582067,-0.005693693185044759
1102,0.0,0.0,0.0,0.2603550295857988,0.42998027613412226,0.10848126232741617,0.9271428571428572,0.8195238095238095,0.9286011904761905,0.9201785714285714,0.8176785714285715,0.9170535714285715,0.4636956327587747,0.4098716918222143,0.4644249947902712,0.5953212007687855,0.62679928199478,0.5189612669477107,1.1407135e-05,0.00019069664,0.00011525045,0.09090030271399195,0.13450804562656546,0.015485974888072657
1103,0.3684210526315789,0.0,0.10526315789473684,0.41637010676156583,0.0,0.10498220640569395,0.8655952380952381,0.8928869047619048,0.8674107142857143,0.8629464285714286,0.8767261904761905,0.8546428571428571,0.6171487949796173,0.44669604836068016,0.4865525461609713,0.6434565589198592,0.4458199648889158,0.48618866358785817,0.0008358646,3.9919998e-11,0.00022550205,0.12696171504772413,-0.05843602529857536,-0.007962031301867217
1104,0.0,0.0,0.2,0.40236686390532544,0.10059171597633136,0.22090729783037474,0.7958928571428572,0.8576488095238095,0.8,0.7932440476190477,0.8458928571428571,0.7917559523809524,0.3980649002679369,0.42895206906817507,0.5000893122953259,0.6007996649928827,0.47895146491410173,0.5107044572432327,3.606052e-05,2.1215876e-05,0.00018328121,0.08082091661863958,-0.026625051652011518,0.0022410192657815946
1105,0.0,0.0,0.0,0.218,0.17,0.104,0.8906845238095238,0.8994940476190476,0.8936904761904761,0.8824404761904762,0.8898214285714285,0.8820535714285714,0.4454085429379372,0.4498139604107754,0.44691174281887186,0.5552386706948641,0.5353474320241691,0.4989033232628399,4.3568234e-05,0.00020428194,8.903336e-05,0.06583987491319034,0.062427337750006126,-0.0021080243320565272
1106,0.0,0.0,0.25,0.106,0.05,0.144,0.8560119047619048,0.9063988095238096,0.85875,0.8444047619047619,0.893125,0.8482142857142857,0.42805691153708775,0.45325336349565426,0.5544112394332659,0.4807794561933535,0.4779305135951662,0.5014259818731117,7.1655806e-05,8.4042105e-12,8.913482e-05,-0.0026027789398627185,-0.0228605885589747,0.0011639470678293745
1107,0.0,0.0,0.0,0.4024144869215292,0.4024144869215292,0.1006036217303823,0.8936011904761905,0.8936011904761905,0.8955654761904762,0.8908035714285715,0.8908035714285715,0.8838392857142857,0.4468404917105694,0.4468404917105694,0.4478227222668691,0.6502753037574145,0.6502753037574145,0.49810110398061874,0.00010496768,0.00010496768,3.189534e-05,0.1336209223073476,0.1336209223073476,0.0006355209862999014
1108,0.6666666666666666,0.6666666666666666,0.0,0.3815261044176707,0.42369477911646586,0.10843373493975904,0.8965178571428571,0.8641369047619047,0.8985714285714286,0.8929761904761905,0.861845238095238,0.8870535714285714,0.7816025240348841,0.7654106021370956,0.4493258326636307,0.6410983793793991,0.6460658657832344,0.5036005905077624,0.00015084296,0.00014577979,1.6516439e-06,0.11651378954932397,0.11392999380428999,0.005898256654895252
1109,0.0,0.0,0.0,0.12650602409638553,0.0,0.0642570281124498,0.9218154761904762,0.8426488095238095,0.9236309523809524,0.9108333333333334,0.8279166666666666,0.9108035714285714,0.4609488942465101,0.4213620263714022,0.4618567133970295,0.524569548813343,0.4201860914748354,0.4938981956464611,3.2690365e-05,6.3031576e-12,2.7603795e-05,0.06870863256895801,-0.053255820133659516,-0.006130910269912325
1110,1.0,0.5,0.0,0.7609561752988048,0.21912350597609562,0.11553784860557768,0.8944642857142857,0.8369047619047619,0.8960714285714285,0.9022023809523809,0.8285119047619047,0.8846428571428572,0.9472290017262932,0.668462408476695,0.44806238466575393,0.8326504243464837,0.5284390265393198,0.5059228913098587,0.00015740201,8.810986e-05,3.1816726e-05,0.37261292470191415,0.03738537402277986,0.0057154419454211675
1111,0.654320987654321,0.012345679012345678,0.06172839506172839,0.5681551116333725,0.1927144535840188,0.09929494712103408,0.8910714285714286,0.8355952380952381,0.8923809523809524,0.8972321428571428,0.8068154761904762,0.8538988095238095,0.7729822665530771,0.42496516624623076,0.4780583262339878,0.7414730038071559,0.5161484362722276,0.4967287952734771,0.0047848155,0.0005674688,0.0009969951,0.4917270740612776,0.0025579066215540495,-0.006698013066725409
1112,0.1320754716981132,0.32075471698113206,0.03773584905660377,0.15894346617238184,0.2803521779425394,0.051899907321594066,0.945625,0.8932440476190476,0.9475,0.9029761904761905,0.8655952380952381,0.8913988095238096,0.5394928883217069,0.6074516125222231,0.493336580443883,0.5564929149448513,0.5930575850593048,0.5004585727053871,0.00072300213,0.001573257,0.00047477573,0.03479043224607725,0.2472747308821197,-0.0009809365802604417
1113,0.05,0.05,0.05,0.4711191335740072,0.22563176895306858,0.13537906137184116,0.8425297619047619,0.8475892857142857,0.8447321428571428,0.8421130952380952,0.8390773809523809,0.8332440476190476,0.446500893388922,0.4490321620011912,0.44760273972602743,0.6597258804104377,0.5374966325247096,0.49016123679255974,0.00037201055,0.00022991575,0.00021563191,0.10243113514788181,0.03843267678684056,-0.00918542067000129
