Methode,Datamode,0.16342373361133644, Variance, Confidence, RA Mean, RA Variance, RA Confidence, Shuffled Mean, Shuffled Variance, Shuffled Confidence, p dif RA, p dif Shuffled, p greater RA,1.2370723065864923e-269
TP,fixation,0.3983748689137875,0.15582593333675707,0.009996651410210278,0.2815992638247421,0.1305565470854706,0.009150272074198718,0.12039029407646311,0.012391581938727738,0.0028190193460851942,5.4630925560851454e-64,0.0,2.7315462780425727e-64,0.0
TP,heatmap,0.3728012873834225,0.07647085797362857,0.00700297637520364,0.2774232838450416,0.065196000007962,0.006466140774187723,0.12082411731146198,0.0018346681609493778,0.001084709495427258,1.2152521775426081e-85,0,6.076260887713041e-86,0
TPTN,fixation,0.8767120697193735,0.0017051243339653009,0.0010457134789136902,0.8772848696239763,0.001720435952954225,0.0010503981172999,0.8788024038079338,0.0016719345757785704,0.001035486209520986,0.44878389251144835,0.005370304726323378,0.7756080537442758,0.9973148476368383
TPTN,heatmap,0.8692140571587567,0.0017851913191425433,0.001069983456688517,0.8660374135463867,0.0016829555153590138,0.0010388934261045257,0.8602557884172034,0.0016482819160835336,0.0010281356699619604,0.000029827953813530224,2.6562967477251035e-32,0.000014913976906765112,1.3281483738625518e-32
AUC,fixation,0.6377521461849763,0.03909413676595693,0.005007148754589297,0.5796822422388003,0.03180182733457623,0.00451607054603087,0.49989616797156716,0.002654879841619366,0.0013048395589891904,6.392615858555506e-64,0,3.196307929277753e-64,0
AUC,heatmap,0.6277880296627616,0.019730218210751282,0.0035571372627195563,0.5794579044983355,0.01602154941381885,0.003205434719199318,0.5001159787772715,0.0000399206166312171,0.0001600049064802711,4.207461489839899e-87,0,2.1037307449199494e-87,0
IG,fixation,0.0008843385,0.0000010192491,0.000025566710816626458,0.0007311717,8.168048e-7,0.000022887260949840918,0.0003907375,1.6783548e-7,0.000010374724058559534,2.1613746010434077e-18,2.4741446131729846e-269,1.0806873005217038e-18,0
CC,heatmap,,0.03214775718908426,0.004540566279678887,0.09774293091845425,0.0210541114930146,0.0036745413511559966,0.000050517241739464585,0.000029749617543334743,0.00013812598029120252,1.2227162911337522e-107,0,6.113581455668761e-108,0
